range_counter, time, receiver_id, requester_position[1], requester_position[2], requester_position[3], receiver_position[1], receiver_position[2], receiver_position[3], range, true_range
0, 1.606694391999918e9, 2, 1.0599374014554082e6, -4.830167805832013e6, 4.852325334380098e6, 1.0599345939455172e6, -4.830167361708391e6, 4.852326725991833e6, 4.980650319895965, 3.1647971184189014
0, 1.606694391999918e9, 3, 1.0599374014554082e6, -4.830167805832013e6, 4.852325334380098e6, 1.059937415433471e6, -4.8301674255911e6, 4.852327194791945e6, -0.4112183409644281, 1.8989235841167176
0, 1.606694391999918e9, 4, 1.0599374014554082e6, -4.830167805832013e6, 4.852325334380098e6, 1.0599362584944637e6, -4.830167595429702e6, 4.8523280590935545e6, -0.5521187916167491, 2.9622107073415296
1, 1.606694451999918e9, 2, 876976.2604064865, -4.540317398544543e6, 5.159091712687832e6, 876962.0074350692, -4.540309226938508e6, 5.159093989222789e6, 16.20817899004604, 16.586288036273096
1, 1.606694451999918e9, 3, 876976.2604064865, -4.540317398544543e6, 5.159091712687832e6, 876968.0863631039, -4.5403224983202e6, 5.159089621380257e6, 6.370482001737707, 9.858816578822708
1, 1.606694451999918e9, 4, 876976.2604064865, -4.540317398544543e6, 5.159091712687832e6, 876956.622469126, -4.540312709877172e6, 5.15908623292841e6, 21.181406669052656, 20.92032382209109
2, 1.606694511999918e9, 2, 692886.9042938711, -4.229411062195428e6, 5.443598038057287e6, 692861.3267986212, -4.229395054031983e6, 5.443601137763768e6, 30.246214316336, 30.332783261703515
2, 1.606694511999918e9, 3, 692886.9042938711, -4.229411062195428e6, 5.443598038057287e6, 692870.530633959, -4.229421553574048e6, 5.443592011682361e6, 20.249199065649037, 20.35885456059567
2, 1.606694511999918e9, 4, 692886.9042938711, -4.229411062195428e6, 5.443598038057287e6, 692848.8804930785, -4.229401673438142e6, 5.443584284777108e6, 38.63128614188543, 41.51037106296689
3, 1.606694571999918e9, 2, 508637.7354540108, -3.8987834030187866e6, 5.704627579020317e6, 508600.9995480703, -3.898759451757508e6, 5.704631389679308e6, 41.58396923063687, 44.01943688935851
3, 1.606694571999918e9, 3, 508637.7354540108, -3.8987834030187866e6, 5.704627579020317e6, 508613.1852354986, -3.8987991689518257e6, 5.704617643501215e6, 31.66160037701104, 30.821946943977554
3, 1.606694571999918e9, 4, 508637.7354540108, -3.8987834030187866e6, 5.704627579020317e6, 508581.5048610757, -3.89876903526545e6, 5.704605405040831e6, 60.93684574363957, 62.128876410173184
4, 1.606694631999918e9, 2, 325184.9562015868, -3.5498605111488183e6, 5.941065743750937e6, 325137.2768330677, -3.5498285299085258e6, 5.94107011152779e6, 57.79217693983585, 57.57776817199764
4, 1.606694631999918e9, 3, 325184.9562015868, -3.5498605111488183e6, 5.941065743750937e6, 325152.28793458873, -3.549881405232757e6, 5.941051928626926e6, 42.55727832346738, 41.165957583242765
4, 1.606694631999918e9, 4, 325184.9562015868, -3.5498605111488183e6, 5.941065743750937e6, 325110.7758315852, -3.5498408487806255e6, 5.941034920098545e6, 84.1353705073031, 82.70086797198877
5, 1.606694691999918e9, 2, 143467.80989800737, -3.1841535201676656e6, 6.151904563067065e6, 143409.45246617356, -3.1841134539987873e6, 6.15190930652589e6, 72.52925244185386, 70.94637510431443
5, 1.606694691999918e9, 3, 143467.80989800737, -3.1841535201676656e6, 6.151904563067065e6, 143427.1178731541, -3.1841793645671243e6, 6.151886897248277e6, 49.40159455016644, 51.34057872155433
5, 1.606694691999918e9, 4, 143467.80989800737, -3.1841535201676656e6, 6.151904563067065e6, 143376.02105077315, -3.1841282296601175e6, 6.151864779937815e6, 101.46290600977765, 103.18672211830955
6, 1.606694751999918e9, 2, -35596.154324208204, -2.803251856178121e6, 6.336246682754753e6, -35664.873583712535, -2.8032036942911707e6, 6.336251607104306e6, 84.9104007383764, 84.06041398883838
6, 1.606694751999918e9, 3, -35596.154324208204, -2.803251856178121e6, 6.336246682754753e6, -35644.739719751706, -2.80328244240272e6, 6.336225188282406e6, 60.45589301417403, 61.30310054811159
6, 1.606694751999918e9, 4, -35596.154324208204, -2.803251856178121e6, 6.336246682754753e6, -35705.12129817663, -2.8032206064278306e6, 6.33619755205889e6, 122.51222520727987, 123.54826419261701
7, 1.606694811999918e9, 2, -211115.5985620829, -2.408816172724786e6, 6.493308874275764e6, -211194.3144434791, -2.4087599566848706e6, 6.493313788033454e6, 99.27341260504123, 96.8533847751272
