range_counter,time,requester_id,requester_position_x,requester_position_y,requester_position_z,requester_velocity_x,requester_velocity_y,requester_velocity_z,receiver_id,receiver_position_x,receiver_position_y,receiver_position_z,range_measurement,true_range
0,1.606694391999918e9,2,1.0599374256603138e6,-4.830169340281334e6,4.852326823676488e6,-3034.73013498291,4648.43263952333,5291.178600460019,1,1.0599361263892476e6,-4.830168429301157e6,4.852329708716138e6,2.115976355585378,3.2926348063658044
0,1.606694391999918e9,2,1.0599374256603138e6,-4.830169340281334e6,4.852326823676488e6,-3034.73013498291,4648.43263952333,5291.178600460019,3,1.0599361768288482e6,-4.830167907810399e6,4.852326928346296e6,2.929381325875047,1.903288936598326
0,1.606694391999918e9,2,1.0599374256603138e6,-4.830169340281334e6,4.852326823676488e6,-3034.73013498291,4648.43263952333,5291.178600460019,4,1.059936304616235e6,-4.830167747598923e6,4.85232620882363e6,2.5112207794867314,2.0424057204084973
1,1.606694451999918e9,2,876964.6230986062,-4.54031458166508e6,5.1590976799619375e6,-3061.649787373146,5009.954556241982,4930.864714389966,1,876962.4608138221,-4.540322416314667e6,5.159101442798024e6,7.1061546076489,8.956346635426412
1,1.606694451999918e9,2,876964.6230986062,-4.54031458166508e6,5.1590976799619375e6,-3061.649787373146,5009.954556241982,4930.864714389966,3,876950.170757697,-4.540323631494601e6,5.159090431708946e6,18.3888541307466,18.528538624272947
1,1.606694451999918e9,2,876964.6230986062,-4.54031458166508e6,5.1590976799619375e6,-3061.649787373146,5009.954556241982,4930.864714389966,4,876950.6308317748,-4.540320860765753e6,5.159097924448867e6,15.912836858888534,15.338526989465826
2,1.606694511999918e9,2,692863.6957006668,-4.2294038144003935e6,5.443608470265373e6,-3072.355056399726,5350.028834296632,4549.446983248008,1,692860.6154004065,-4.229420417369983e6,5.443613168108319e6,17.638268385006405,17.527594736175182
2,1.606694511999918e9,2,692863.6957006668,-4.2294038144003935e6,5.443608470265373e6,-3072.355056399726,5350.028834296632,4549.446983248008,3,692836.0087450583,-4.229423181200908e6,5.44359388597238e6,37.96428745657902,36.80138686406033
2,1.606694511999918e9,2,692863.6957006668,-4.2294038144003935e6,5.443608470265373e6,-3072.355056399726,5350.028834296632,4549.446983248008,4,692836.8274620936,-4.229417846441081e6,5.443609597786232e6,27.714059327419786,30.332683909664066
3,1.606694571999918e9,2,508603.0959050964,-3.8987716671873066e6,5.70464244741869e6,-3067.0072618453205,5667.079464049301,4148.588214020446,1,508599.0508426535,-3.898797063898895e6,5.704648197349058e6,27.73167676241781,26.35179669235363
3,1.606694571999918e9,2,508603.0959050964,-3.8987716671873066e6,5.70464244741869e6,-3067.0072618453205,5667.079464049301,4148.588214020446,3,508562.200329861,-3.89880113244526e6,5.704620564288752e6,52.57628220592801,54.950167205894616
3,1.606694571999918e9,2,508603.0959050964,-3.8987716671873066e6,5.70464244741869e6,-3067.0072618453205,5667.079464049301,4148.588214020446,4,508563.4075992478,-3.898793331356681e6,5.704644522773362e6,44.60002141484358,45.26372667850574
4,1.606694631999918e9,2,325139.07620573207,-3.5498442619970576e6,5.941085018645143e6,-3045.8496526833264,5959.634399711987,3730.029808518671,1,325134.0241580685,-3.54987846982286e6,5.941091994363697e6,38.72642742751387,35.2754756319326
4,1.606694631999918e9,2,325139.07620573207,-3.5498442619970576e6,5.941085018645143e6,-3045.8496526833264,5959.634399711987,3730.029808518671,3,325085.0553894847,-3.5498835508249155e6,5.941055882521374e6,71.93257490079421,72.87505945634543
4,1.606694631999918e9,2,325139.07620573207,-3.5498442619970576e6,5.941085018645143e6,-3045.8496526833264,5959.634399711987,3730.029808518671,4,325086.6816229412,-3.54987343251313e6,5.941088150045202e6,57.09893897120745,60.04928792317971
5,1.606694691999918e9,2,143410.9286201146,-3.1841327702577533e6,6.151928230531674e6,-3009.205176073353,6226.33143782389,3295.5836824803378,1,143404.82794146563,-3.1841757861426906e6,6.151936658632066e6,45.45142845844385,44.256270890512305
5,1.606694691999918e9,2,143410.9286201146,-3.1841327702577533e6,6.151928230531674e6,-3009.205176073353,6226.33143782389,3295.5836824803378,3,143343.924513994,-3.1841815502272197e6,6.151891883598298e6,90.59638121290554,90.49936587626718
5,1.606694691999918e9,2,143410.9286201146,-3.1841327702577533e6,6.151928230531674e6,-3009.205176073353,6226.33143782389,3295.5836824803378,4,143345.9956841045,-3.184169311037433e6,6.151932572288636e6,74.62761156288487,74.63488200566613
6,1.606694751999918e9,2,-35663.75218058329,-2.8032266605116157e6,6.336274760960966e6,-2957.4736326490233,6465.923734243878,2847.124294598312,1,-35670.94531973577,-2.803278450198457e6,6.336284914756792e6,56.24905594356089,53.26361312999777
6,1.606694751999918e9,2,-35663.75218058329,-2.8032266605116157e6,6.336274760960966e6,-2957.4736326490233,6465.923734243878,2847.124294598312,3,-35743.53723527363,-2.803284542427064e6,6.336231229358338e6,107.77190576757347,107.75421808590882
6,1.606694751999918e9,2,-35663.75218058329,-2.8032266605116157e6,6.336274760960966e6,-2957.4736326490233,6465.923734243878,2847.124294598312,4,-35741.00497298961,-2.803270419183031e6,6.3362805154126175e6,90.37157452063337,88.97150651995263
7,1.606694811999918e9,2,-211193.58714820552,-2.4087866294835103e6,6.493341430920131e6,-2891.1285271050606,6677.284619731434,2386.5806235779132,1,-211201.92053637255,-2.40884711826949e6,6.493353622262917e6,63.70667094692334,62.26529873533229
7,1.606694811999918e9,2,-211193.58714820552,-2.4087866294835103e6,6.493341430920131e6,-2891.1285271050606,6677.284619731434,2386.5806235779132,3,-211285.88813158486,-2.408853171762556e6,6.493290711295102e6,122.0239975162819,124.57859686330441
7,1.606694811999918e9,2,-211193.58714820552,-2.4087866294835103e6,6.493341430920131e6,-2891.1285271050606,6677.284619731434,2386.5806235779132,4,-211282.89384757765,-2.4088374324456137e6,6.493348848422742e6,104.25445547519693,103.01284801528341
8,1.606694871999918e9,2,-382317.73386073956,-2.00253725841548e6,6.62246223681398e6,-2810.713658493902,6859.411977093816,1915.9282141677438,1,-382327.2603583698,-2.002606322522579e6,6.622476806784419e6,72.95663792688782,71.22421698475222
8,1.606694871999918e9,2,-382317.73386073956,-2.00253725841548e6,6.62246223681398e6,-2810.713658493902,6859.411977093816,1915.9282141677438,3,-382422.2210636973,-2.0026119722873974e6,6.622404284080388e6,143.1892850359596,140.91933000702846
8,1.606694871999918e9,2,-382317.73386073956,-2.00253725841548e6,6.62246223681398e6,-2810.713658493902,6859.411977093816,1915.9282141677438,4,-382418.78462454234,-2.0025949049466043e6,6.622471615014947e6,114.09624421866675,116.71473801183886
